;Alteração de nomenclatura;;;;;;;;;;;;;;;;;;;;
;Variável nova;;;;;;;;;;;;;;;;;;;;
;Descontinuidade;;;;;;;;;;;;;;;;;;;;
138;QT_MAT_NRPFIES;Quantidade de matrículas - alunos que utilizam financiamento estudantil não reembolsável - administrado pela instituição;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
139;QT_MAT_FINANC_NREEMB_OUTROS;Quantidade de matrículas - alunos que utilizam financiamento estudantil não reembolsável - pelo governo estadual, municipal, entidades externas à IES e outras entidades;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
140;QT_CONC_FINANC;Quantidade de concluintes - alunos que utilizam financiamento estudantil ;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
141;QT_CONC_FINANC_REEMB;Quantidade de concluintes - alunos que utilizam financiamento estudantil reembolsável;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
142;QT_CONC_FIES;Quantidade de concluintes - alunos que utilizam financiamento estudantil reembolsável  - FIES;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
143;QT_CONC_RPFIES;Quantidade de concluintes - alunos que utilizam financiamento estudantil reembolsável - administrado pela instituição;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
144;QT_CONC_FINANC_REEMB_OUTROS;Quantidade de concluintes - alunos que utilizam financiamento estudantil reembolsável - pelo governo estadual, municipal, entidades externas à IES e outras entidades;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
145;QT_CONC_FINANC_NREEMB;Quantidade de concluintes - alunos que utilizam financiamento estudantil não reembolsável;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
146;QT_CONC_PROUNII;Quantidade de concluintes - alunos que utilizam financiamento estudantil não reembolsável  - PROUNI Integral;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
147;QT_CONC_PROUNIP;Quantidade de concluintes - alunos que utilizam financiamento estudantil não reembolsável  - PROUNI Parcial;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
